Vertex,Principal_1,Principal_2,Mean,Gaussian
0,1.4690033672292697,0.4314680729018443,0.950235720065557,0.6338280519447334
1,1.6545743719828185,0.1650053809956754,0.909789876489247,0.2730136746347054
2,1.548160923625098,-0.5732946776292697,0.4874331229979142,-0.8875524176278828
3,1.5481609236250982,-0.5732946776292696,0.48743312299791436,-0.8875524176278828
4,1.6545743719828188,0.16500538099567552,0.9097898764892471,0.27301367463470544
5,1.4687889579969469,0.43108015431482305,0.949934556155885,0.6331657706692321
6,1.6548189697275926,0.164921958038455,0.9098704638830237,0.2729159846866533
7,1.5480155897136934,-0.5730647059778481,0.4874754418679227,-0.8871130987684027
8,1.5480551885882883,-0.5730272386745544,0.487513974956867,-0.8870777900325635
9,1.6547802771240971,0.1649148098088854,0.9098475434664913,0.27289777467741516
10,1.468445500998603,0.43117949014088375,0.9498124955697433,0.6331635824202522
11,1.655155381507596,0.16500893956737894,0.9100821605374875,0.273115434321809
12,1.54785511652609,-0.5739324351235953,0.48696134070124747,-0.888364256246335
13,1.5480156624851094,-0.5739939538392203,0.4870108543229446,-0.8885516307148676
14,1.6551422432472345,0.16502587529483292,0.9100840592710338,0.27314129742932813
15,1.4684455009986035,0.43117949014088364,0.9498124955697436,0.6331635824202523
16,1.6551422432472338,0.16502587529483304,0.9100840592710334,0.2731412974293281
17,1.5479983860844126,-0.5739909790807176,0.4870037035018475,-0.8885371092439626
18,1.5478551165260903,-0.5739324351235952,0.4869613407012475,-0.888364256246335
19,1.6551553815075963,0.16500893956737894,0.9100821605374876,0.273115434321809
20,1.4687889579969469,0.43108015431482305,0.949934556155885,0.6331657706692321
21,1.6547802771241051,0.16491480980887752,0.9098475434664913,0.2728977746774034
22,1.5480551885882798,-0.5730272386745457,0.487513974956867,-0.887077790032545
23,1.5480155897136845,-0.5730647059778393,0.4874754418679225,-0.8871130987683842
24,1.654817290004213,0.16492200623362285,0.909869648118918,0.2729157874175817
25,1.4687030304308781,0.43134910026323503,0.9500260653470566,0.6335237307302459
26,1.6545743719828185,0.1650053809956754,0.909789876489247,0.2730136746347054
27,1.548160923625098,-0.5732946776292693,0.48743312299791425,-0.8875524176278826
28,1.548160923625098,-0.5732946776292693,0.4874331229979143,-0.8875524176278826
29,1.654574371982803,0.1650053809956913,0.9097898764892471,0.273013674634729
30,1.4687889579969469,0.43108015431482305,0.949934556155885,0.6331657706692321
31,1.6548189697275926,0.164921958038455,0.9098704638830237,0.2729159846866533
32,1.5480155897136934,-0.5730647059778481,0.4874754418679227,-0.8871130987684027
33,1.5480551885882883,-0.5730272386745544,0.487513974956867,-0.8870777900325635
34,1.6547802771240971,0.1649148098088854,0.9098475434664913,0.27289777467741516
35,1.468445500998603,0.43117949014088375,0.9498124955697433,0.6331635824202522
36,1.655155381507596,0.16500893956737894,0.9100821605374875,0.273115434321809
37,1.54785511652609,-0.5739324351235953,0.48696134070124747,-0.888364256246335
38,1.5480156624851094,-0.5739939538392203,0.4870108543229446,-0.8885516307148676
39,1.6551422432472345,0.16502587529483292,0.9100840592710338,0.27314129742932813
40,1.4684455009986035,0.43117949014088364,0.9498124955697436,0.6331635824202523
41,1.6551422432472338,0.16502587529483304,0.9100840592710334,0.2731412974293281
42,1.5479983860844126,-0.5739909790807176,0.4870037035018475,-0.8885371092439626
43,1.5478551165260903,-0.5739324351235952,0.4869613407012475,-0.888364256246335
44,1.6551553815075963,0.16500893956737894,0.9100821605374876,0.273115434321809
45,1.4687889579969469,0.43108015431482305,0.949934556155885,0.6331657706692321
46,1.6547802771241051,0.16491480980887752,0.9098475434664913,0.2728977746774034
47,1.5480551885882798,-0.5730272386745457,0.487513974956867,-0.887077790032545
48,1.5480155897136845,-0.5730647059778393,0.4874754418679225,-0.8871130987683842
49,1.654817290004213,0.16492200623362285,0.909869648118918,0.2729157874175817
50,1.1620559693738506,0.3326016333308173,0.7473288013523339,0.3865017134355689
51,1.12626170935491,0.35051874459296645,0.7383902269739383,0.3947758404462115
52,1.4113776112820202,0.35871655647499634,0.8850470838785083,0.5062845166049923
53,1.126519907032331,0.35085020987268734,0.7386850584525092,0.3952397458080536
54,1.649328868276586,0.14922591065458035,0.8992773894655832,0.24612260233746194
55,1.2539787510028941,-0.19044049955585896,0.5317691257235175,-0.2388083397734231
56,1.2376362375445735,-0.19765202589747866,0.5199921058235475,-0.2446213096748181
57,1.2374822142240596,-0.19780697867703934,0.5198376177735101,-0.24478261796223402
58,1.4910502212316845,-0.679743582105603,0.4056533195630407,-1.0135318184793771
59,1.1244323010650772,-0.8284718685052468,0.14798021627991523,-0.9315605294710387
60,1.0559385581099667,-0.863858755759614,0.09603990117517636,-0.9121817689674767
61,1.0559400765762674,-0.8650273144025669,0.09545638108685034,-0.9134170086108095
62,1.490865006032153,-0.6798128370967753,0.40552608446768884,-1.0135091694790188
63,1.2540099019347215,-0.19043159661380804,0.5317891526604567,-0.23880310779495378
64,1.2376194751963951,-0.19763953834382086,0.5199899684262871,-0.2446025417231374
65,1.2374822142240596,-0.19780697867703934,0.5198376177735101,-0.24478261796223402
66,1.6493692456460325,0.14920180810217165,0.8992855268741021,0.24608887367850285
67,1.1617662831060593,0.3324801662171999,0.7471232246616296,0.38626424691264116
68,1.1264179316906882,0.35060457988225735,0.7385112557864727,0.3949272857122549
69,1.1265206890682105,0.3508462324609041,0.7386834607645573,0.39523553954884316
70,1.1618632782433065,0.3323377122364586,0.7471004952398825,0.3861309838229324
71,1.126481954232439,0.35081714210835063,0.7386495481703947,0.395189179820454
