Vertex,Principal_1,Principal_2,Mean,Gaussian
0,0.03855418688487958,-0.012648886120175045,0.012952650382352264,-0.0004876675193627879
1,0.08227415186100964,-0.0685836577709806,0.006845247045014519,-0.005642662274633173
2,0.0720901587886506,0.0446154985780584,0.05835282868335451,0.003216338376927046
3,0.1479294190461573,-0.03569492689969923,0.056117246073229037,-0.005280329799167559
4,0.030052426466297084,0.006337664908823459,0.018195045687560273,0.00019046220864044842
5,0.005830444527133063,-0.0016060416890658312,0.0021122014190336157,-9.363936976361416e-06
6,0.02028772180449962,0.004719746054606714,0.012503733929553167,9.575289494374567e-05
7,0.017904201442590223,0.002836562476984692,0.010370381959787458,5.078638599242662e-05
8,0.08292722109755178,-0.08015963243771189,0.0013837943299199397,-0.006647415562260617
9,0.10795595013183273,0.051856738963643484,0.07990634454773811,0.005598243525558564
10,0.07819004458406167,-0.06577573005628967,0.006207157263885994,-0.0051430072656504944
11,0.05418571949938068,0.0014355027815972886,0.027810611140488987,7.778375106421135e-05
12,0.21680330127096464,-0.014953902934275717,0.10092469916834447,-0.0032420555230365405
13,0.10307779254750636,-0.07656733169213435,0.013255230427686004,-0.007892391532077932
14,0.10966223341631484,0.01898255842985494,0.06432239592308489,0.002081669753373588
15,0.09068795362243183,-0.03688444845002227,0.02690175258620478,-0.003344975150424598
16,0.24661107428903215,0.1483317601357708,0.19747141721240147,0.03658025471826547
17,0.05828386726562855,0.01664680813849498,0.037465337702061764,0.0009702403559404264
18,0.06783956016003484,-0.005748401514515583,0.03104557932275963,-0.00038996903036801533
19,0.021169971149063424,0.004675332266894731,0.012922651707979078,9.897664920244676e-05
20,0.09033140794825159,0.03476661246386384,0.06254901020605771,0.0031405170534520525
21,0.04245553132991517,-0.020124042456948613,0.01116574443648328,-0.0008543769150155249
22,0.012653187656316409,-0.0022485005362807477,0.005202343560017831,-2.8450699230888384e-05
23,0.15423075757396526,-0.05693828373025893,0.04864623692185317,-0.008781634634679215
24,0.033785131123502336,-0.0092407090119047,0.012272211055798819,-0.00031219856564132997
25,0.02499449745671161,-0.014321216444859767,0.005336640505925921,-0.00035795160800806394
26,0.12123402044316745,-0.045780390316183396,0.03772681506349202,-0.005550140775488363
27,0.1972955111741187,0.10741722283284279,0.15235636700348074,0.02119293588770993
28,0.004203264112270061,0.002182904847640265,0.0031930844799551634,9.175325606586674e-06
29,0.07294428949419099,-0.005778012766941246,0.03358313836362487,-0.00042147303597289383
30,0.17093324245351427,0.002169865416985009,0.08655155393524964,0.0003709021314129951
31,0.02297729349207973,0.010471880202092252,0.01672458684708599,0.00024061546481737286
32,0.01115951306656457,0.0022175315368225994,0.006688522301693584,2.4746572160690808e-05
33,0.19491867555709053,-0.0044857723439379465,0.09521645160657628,-0.0008743608041310092
34,0.020763240351819146,-0.012983645025630014,0.0038897976630945653,-0.000269582542309857
35,0.11533246242483536,0.0046230929080741945,0.059977777666454776,0.0005331926891069895
36,0.12906137451391103,0.018427420976136068,0.07374439774502355,0.0023782682799265973
37,0.17745318656027087,-0.03019192111952186,0.07363063272037451,-0.005357652611035496
38,0.06163740380487949,0.06163740380487949,0.06163740380487949,0.003828807587555853
39,0.03328183063823299,0.005438687803558984,0.01936025922089599,0.0001810094863722735
40,0.11988126321070638,-0.004596674185729392,0.0576422945124885,-0.0005510551079532849
41,0.12042394672068364,-0.062345146369047685,0.029039400175817978,-0.007507848584639421
42,0.08529618601161132,-0.0308683380543775,0.027213923978616907,-0.002632951504555484
43,0.28378727584333213,-0.14811361376520726,0.06783683103906245,-0.04203275896573963
44,0.10512971574295503,-0.03249430923696868,0.036317703252993175,-0.003416117493346196
45,0.21031776664355173,-0.07485235754067093,0.0677327045514404,-0.01574278066595853
46,0.009338092629895205,-0.001647142234605701,0.0038454751976447522,-1.5381166761360618e-05
47,0.048376846741264704,0.008803948775820532,0.028590397758542618,0.00042590728064581486
48,0.11057781302116529,0.010686023785068034,0.060631918403116665,0.001181637140044978
49,0.007254621023654545,0.001186565413876304,0.004220593218765424,8.60808239744839e-06
50,0.09940862352008108,0.0066521648209916795,0.05303039417053638,0.0006612825482834896
51,0.04639094689026613,-0.01647715687736213,0.014956895006452,-0.0007643909096002898
