Vertex,Principal_1,Principal_2,Mean,Gaussian
0,1.0000107271516117,1.0000107271516117,1.0000107271516117,1.0048117820139042
1,1.000002599113245,1.000002599113245,1.000002599113245,1.0047797248177701
2,1.000008225035256,1.000008225035256,1.000008225035256,1.00442407240633
3,1.000000142017924,1.000000142017924,1.000000142017924,1.0054191143044655
4,1.0000006309782465,1.0000006309782465,1.0000006309782465,1.0057202736747206
5,1.0000007069879744,1.0000007069879744,1.0000007069879744,1.0053002402645828
6,1.0000011301682432,1.0000011301682432,1.0000011301682432,1.0021366523097206
7,1.0000028276207424,1.0000028276207424,1.0000028276207424,1.0019251436615964
8,1.0000840437261334,1.0000840437261334,1.0000840437261334,1.0015083069492687
9,1.0000001275621744,1.0000001275621744,1.0000001275621744,1.005423778843286
10,1.0000016380333239,1.0000016380333239,1.0000016380333239,1.005303912021059
11,1.0000000761712058,1.0000000761712058,1.0000000761712058,1.0056459143519199
12,1.0000012438369033,1.0000012438369033,1.0000012438369033,1.0054407366930078
13,1.0000001033352004,1.0000001033352004,1.0000001033352004,1.002508386336181
14,1.0000012066450001,1.0000012066450001,1.0000012066450001,1.0020997651847783
15,1.0000002675168727,1.0000002675168727,1.0000002675168727,1.001975097273754
16,1.000001408417015,1.000001408417015,1.000001408417015,1.0020665359023715
17,1.0000019507719953,1.0000019507719953,1.0000019507719953,1.0020383734225673
18,1.0000000133918423,1.0000000133918423,1.0000000133918423,1.0048280979859259
19,1.000000167238688,1.000000167238688,1.000000167238688,1.0051673447273128
20,1.0000076039334853,1.0000076039334853,1.0000076039334853,1.005899242540853
21,1.0000101185182149,1.0000101185182149,1.0000101185182149,1.005952882955955
22,1.0000211297384718,1.0000211297384718,1.0000211297384718,1.0044668900904572
23,1.0000013687194582,1.0000013687194582,1.0000013687194582,1.002184331171764
24,1.000000348136068,1.000000348136068,1.000000348136068,1.0021337804818682
25,1.0000005077389331,1.0000005077389331,1.0000005077389331,1.001869999692099
26,1.0000001305652781,1.0000001305652781,1.0000001305652781,1.0023976092213538
27,1.0000018796328107,1.0000018796328107,1.0000018796328107,1.002444318937753
28,1.0000002822083,1.0000002822083,1.0000002822083,1.0022573137902184
29,1.000006108132564,1.000006108132564,1.000006108132564,1.0021177316849346
30,1.000006333486189,1.000006333486189,1.000006333486189,1.0022670187152383
31,1.0000018480454058,1.0000018480454058,1.0000018480454058,1.0024645977771045
32,1.000002034777695,1.000002034777695,1.000002034777695,1.0014087882497147
33,1.0000022061905907,1.0000022061905907,1.0000022061905907,1.0018524478505728
34,1.0000079005241969,1.0000079005241969,1.0000079005241969,1.0052164869627642
35,1.000006389426727,1.000006389426727,1.000006389426727,1.0058665011106387
36,1.000001427584028,1.000001427584028,1.000001427584028,1.006007532939797
37,1.0000019942089389,1.0000019942089389,1.0000019942089389,1.0026708647847138
38,1.0000004338153954,1.0000004338153954,1.0000004338153954,1.0022135883158831
39,1.000001122227848,1.000001122227848,1.000001122227848,1.002395074869078
40,1.0000036643210894,1.0000036643210894,1.0000036643210894,1.0020950852755481
41,1.0000018104594512,1.0000018104594512,1.0000018104594512,1.002526330700148
42,1.0000260349057954,1.0000260349057954,1.0000260349057954,1.0019071926841403
43,1.0000011833217548,1.0000011833217548,1.0000011833217548,1.0020904076281825
44,1.0000030008364793,1.0000030008364793,1.0000030008364793,1.0024045668213697
45,1.0000086074562757,1.0000086074562757,1.0000086074562757,1.0031951955498106
46,1.0000059104567243,1.0000059104567243,1.0000059104567243,1.0028010655536952
47,1.00000811933822,1.00000811933822,1.00000811933822,1.0028679696450622
48,1.0000016631489703,1.0000016631489703,1.0000016631489703,1.0030426133518713
49,1.0000115991436211,1.0000115991436211,1.0000115991436211,1.0026127971703482
50,1.0000031276118675,1.0000031276118675,1.0000031276118675,1.0022012756106877
51,1.000012934676612,1.000012934676612,1.000012934676612,1.0032198301118793
52,1.0000031123979325,1.0000031123979325,1.0000031123979325,1.0032608188930727
53,1.0000005378435761,1.0000005378435761,1.0000005378435761,1.0019989797085591
54,1.0000015076804694,1.0000015076804694,1.0000015076804694,1.002085663328462
55,1.0000005684918345,1.0000005684918345,1.0000005684918345,1.0025350170564133
56,1.000007316523378,1.000007316523378,1.000007316523378,1.0027328215241849
57,1.000002517758363,1.000002517758363,1.000002517758363,1.0029380252669153
58,1.0000045525258872,1.0000045525258872,1.0000045525258872,1.0028741830558217
59,1.0000067635663334,1.0000067635663334,1.0000067635663334,1.0030924921756847
60,1.0000003618075497,1.0000003618075497,1.0000003618075497,1.0030981577779807
61,1.0000072693412227,1.0000072693412227,1.0000072693412227,1.0032200953759718
62,1.0000015550277996,1.0000015550277996,1.0000015550277996,1.0027315449615133
63,1.0000004860209952,1.0000004860209952,1.0000004860209952,1.002921946982406
64,1.0000036339991345,1.0000036339991345,1.0000036339991345,1.0021693168124959
65,1.0000004937108564,1.0000004937108564,1.0000004937108564,1.0021413586452965
66,1.0000064676962679,1.0000064676962679,1.0000064676962679,1.004260437102962
67,1.0000114256199486,1.0000114256199486,1.0000114256199486,1.0039183210238125
68,1.0000041570542266,1.0000041570542266,1.0000041570542266,1.0036754620507604
69,1.0000042383825434,1.0000042383825434,1.0000042383825434,1.0033412336960204
70,1.0000008898806791,1.0000008898806791,1.0000008898806791,1.0030089631142862
71,1.0000070774483412,1.0000070774483412,1.0000070774483412,1.003322431148871
72,1.0000062915575925,1.0000062915575925,1.0000062915575925,1.003912636758255
73,1.0000001222877328,1.0000001222877328,1.0000001222877328,1.005884844165722
74,1.000002236396614,1.000002236396614,1.000002236396614,1.006221633279755
75,1.0000042181383717,1.0000042181383717,1.0000042181383717,1.0057433935840678
76,1.0000005594217294,1.0000005594217294,1.0000005594217294,1.0050186616455594
77,1.0000004702898018,1.0000004702898018,1.0000004702898018,1.0052460697424572
78,1.0000035209137996,1.0000035209137996,1.0000035209137996,1.0023852920968075
79,1.0000042519731225,1.0000042519731225,1.0000042519731225,1.0025241536692517
80,1.000007004411112,1.000007004411112,1.000007004411112,1.0036697253063818
81,1.0000015275777911,1.0000015275777911,1.0000015275777911,1.0038583052818437
82,1.0000010681146054,1.0000010681146054,1.0000010681146054,1.0038465147750295
83,1.000002495702051,1.000002495702051,1.000002495702051,1.0037819734198767
84,1.0000004719179219,1.0000004719179219,1.0000004719179219,1.0040220857929527
85,1.0000069424465738,1.0000069424465738,1.0000069424465738,1.0037339447771312
86,1.0000063270333737,1.0000063270333737,1.0000063270333737,1.0029958163024828
87,1.0000202878436542,1.0000202878436542,1.0000202878436542,1.0037525294422038
88,1.0000101043923193,1.0000101043923193,1.0000101043923193,1.0043232005438878
89,1.0000120971588167,1.0000120971588167,1.0000120971588167,1.0048969104152228
90,1.000000238923268,1.000000238923268,1.000000238923268,1.0056095907212477
91,1.000003862605445,1.000003862605445,1.000003862605445,1.005667607692325
92,1.0000098712075578,1.0000098712075578,1.0000098712075578,1.005912873463059
93,1.0000175076932574,1.0000175076932574,1.0000175076932574,1.0040674261639269
94,1.0000083520482594,1.0000083520482594,1.0000083520482594,1.0045299973452135
95,1.0000087197951928,1.0000087197951928,1.0000087197951928,1.004208883252227
96,1.0000044651014688,1.0000044651014688,1.0000044651014688,1.0050877769674376
97,1.0000066819622244,1.0000066819622244,1.0000066819622244,1.0036042841561703
98,1.0000025938365704,1.0000025938365704,1.0000025938365704,1.0038224060311396
99,1.0000009133264232,1.0000009133264232,1.0000009133264232,1.0034483472970228
100,1.0000000394838007,1.0000000394838007,1.0000000394838007,1.0034457482091017
101,1.0000042143728725,1.0000042143728725,1.0000042143728725,1.0030370779234432
102,1.0000001547810784,1.0000001547810784,1.0000001547810784,1.0040350769159525
103,1.0000060296910012,1.0000060296910012,1.0000060296910012,1.0054604989787557
104,1.0000102545298073,1.0000102545298073,1.0000102545298073,1.004681091880775
105,1.0000006633719312,1.0000006633719312,1.0000006633719312,1.0050289517331357
106,1.0000039984172195,1.0000039984172195,1.0000039984172195,1.004629580729494
107,1.000001760609775,1.000001760609775,1.000001760609775,1.0050177182038051
108,1.000001395097051,1.000001395097051,1.000001395097051,1.005298793194476
109,1.0000036233425695,1.0000036233425695,1.0000036233425695,1.0051231029947907
110,1.0005110294286403,1.0005110294286403,1.0005110294286403,1.0025802106433845
111,1.0000012951758028,1.0000012951758028,1.0000012951758028,1.0010043399929998
112,1.0000057809641487,1.0000057809641487,1.0000057809641487,1.0037511836881234
113,1.0000045528570622,1.0000045528570622,1.0000045528570622,1.0046265690601976
114,1.0000027367464783,1.0000027367464783,1.0000027367464783,1.0050987190390663
115,1.0000043932735596,1.0000043932735596,1.0000043932735596,1.0039919616970379
116,1.0000033620612796,1.0000033620612796,1.0000033620612796,1.0035366278828406
117,1.0003064098084353,1.0003064098084353,1.0003064098084353,1.0032682799285948
118,1.0000045865576852,1.0000045865576852,1.0000045865576852,1.0024621103388187
119,1.0000017504814027,1.0000017504814027,1.0000017504814027,1.0054791095790894
120,1.000004599972691,1.000004599972691,1.000004599972691,1.0051428553721147
121,1.0000035107603897,1.0000035107603897,1.0000035107603897,1.00247014601941
122,1.0000067341473884,1.0000067341473884,1.0000067341473884,1.002682337707502
123,1.0000006107198622,1.0000006107198622,1.0000006107198622,1.002356877623143
124,1.0000093427986916,1.0000093427986916,1.0000093427986916,1.0042936859364369
125,1.0000011136589368,1.0000011136589368,1.0000011136589368,1.0046913943829983
126,1.0000070999353847,1.0000070999353847,1.0000070999353847,1.0056927883737843
127,1.0000009442373994,1.0000009442373994,1.0000009442373994,1.0036840220751122
128,1.000004639121535,1.000004639121535,1.000004639121535,1.0028044588550096
129,1.0000060953720453,1.0000060953720453,1.0000060953720453,1.0032515834990663
130,1.0000036112811224,1.0000036112811224,1.0000036112811224,1.0044304109877102
131,1.0000060238397703,1.0000060238397703,1.0000060238397703,1.004142251590416
132,1.0000138355910804,1.0000138355910804,1.0000138355910804,1.0042333577851146
133,1.0000074808381143,1.0000074808381143,1.0000074808381143,1.0053751797549626
134,1.0000003698182574,1.0000003698182574,1.0000003698182574,1.0052293363574853
135,1.0000053907744129,1.0000053907744129,1.0000053907744129,1.0043890059673726
136,1.0000109599815556,1.0000109599815556,1.0000109599815556,1.0044438917943763
137,1.000000880039898,1.000000880039898,1.000000880039898,1.0028725715585831
138,1.0000091329056657,1.0000091329056657,1.0000091329056657,1.0031386592520124
139,1.0000067236697197,1.0000067236697197,1.0000067236697197,1.0035587639075896
140,1.000001312302679,1.000001312302679,1.000001312302679,1.003683104417193
141,1.000003984877516,1.000003984877516,1.000003984877516,1.0035465926396063
142,1.0000002118746631,1.0000002118746631,1.0000002118746631,1.0034363889579145
143,1.0000069278353918,1.0000069278353918,1.0000069278353918,1.002524974260351
144,1.0000016310710018,1.0000016310710018,1.0000016310710018,1.0023531079407586
145,1.0000065849199808,1.0000065849199808,1.0000065849199808,1.0025663487318326
146,1.0000037459350086,1.0000037459350086,1.0000037459350086,1.0040414860668978
147,1.0000019817323333,1.0000019817323333,1.0000019817323333,1.00409644488532
148,1.0000051639059402,1.0000051639059402,1.0000051639059402,1.0039205078120228
149,1.0000102481078983,1.0000102481078983,1.0000102481078983,1.0056753119261304
150,1.0000013987865872,1.0000013987865872,1.0000013987865872,1.0059577037134133
151,1.0000001558408933,1.0000001558408933,1.0000001558408933,1.0053310305073229
152,1.000011325318456,1.000011325318456,1.000011325318456,1.0048776366792898
153,1.0000019847226198,1.0000019847226198,1.0000019847226198,1.0046868452639526
154,1.0000070185975511,1.0000070185975511,1.0000070185975511,1.0055587854051111
